char	codepoint	low_byte	ascii_if_printable
儬	U+512C	0x2C	,
儭	U+512D	0x2D	-
儮	U+512E	0x2E	.
儯	U+512F	0x2F	/
儰	U+5130	0x30	0
儱	U+5131	0x31	1
儲	U+5132	0x32	2
儳	U+5133	0x33	3
儴	U+5134	0x34	4
儵	U+5135	0x35	5
儶	U+5136	0x36	6
儷	U+5137	0x37	7
儸	U+5138	0x38	8
儹	U+5139	0x39	9
儺	U+513A	0x3A	:
儻	U+513B	0x3B	;
儼	U+513C	0x3C	<
儽	U+513D	0x3D	=
儾	U+513E	0x3E	>
儿	U+513F	0x3F	?
兀	U+5140	0x40	@
允	U+5141	0x41	A
兂	U+5142	0x42	B
元	U+5143	0x43	C
兄	U+5144	0x44	D
充	U+5145	0x45	E
兆	U+5146	0x46	F
兇	U+5147	0x47	G
先	U+5148	0x48	H
光	U+5149	0x49	I
兊	U+514A	0x4A	J
克	U+514B	0x4B	K
兌	U+514C	0x4C	L
免	U+514D	0x4D	M
兎	U+514E	0x4E	N
兏	U+514F	0x4F	O
児	U+5150	0x50	P
兑	U+5151	0x51	Q
兒	U+5152	0x52	R
兓	U+5153	0x53	S
兔	U+5154	0x54	T
兕	U+5155	0x55	U
兖	U+5156	0x56	V
兗	U+5157	0x57	W
兘	U+5158	0x58	X
兙	U+5159	0x59	Y
党	U+515A	0x5A	Z
兛	U+515B	0x5B	[
兜	U+515C	0x5C	\
兝	U+515D	0x5D	]
兞	U+515E	0x5E	^
兟	U+515F	0x5F	_
兠	U+5160	0x60	`
兡	U+5161	0x61	a
兢	U+5162	0x62	b
兣	U+5163	0x63	c
兤	U+5164	0x64	d
入	U+5165	0x65	e
兦	U+5166	0x66	f
內	U+5167	0x67	g
全	U+5168	0x68	h
兩	U+5169	0x69	i
兪	U+516A	0x6A	j
八	U+516B	0x6B	k
公	U+516C	0x6C	l
六	U+516D	0x6D	m
兮	U+516E	0x6E	n
兯	U+516F	0x6F	o
兰	U+5170	0x70	p
共	U+5171	0x71	q
兲	U+5172	0x72	r
关	U+5173	0x73	s
兴	U+5174	0x74	t
兵	U+5175	0x75	u
其	U+5176	0x76	v
具	U+5177	0x77	w
典	U+5178	0x78	x
兹	U+5179	0x79	y
兺	U+517A	0x7A	z
养	U+517B	0x7B	{
兼	U+517C	0x7C	|
兽	U+517D	0x7D	}
兾	U+517E	0x7E	~
兿	U+517F	0x7F	
冀	U+5180	0x80	
冁	U+5181	0x81	
冂	U+5182	0x82	
冃	U+5183	0x83	
冄	U+5184	0x84	
内	U+5185	0x85	
円	U+5186	0x86	
冇	U+5187	0x87	
冈	U+5188	0x88	
冉	U+5189	0x89	
冊	U+518A	0x8A	
冋	U+518B	0x8B	
册	U+518C	0x8C	
再	U+518D	0x8D	
冎	U+518E	0x8E	
冏	U+518F	0x8F	
冐	U+5190	0x90	
冑	U+5191	0x91	
冒	U+5192	0x92	
冓	U+5193	0x93	
冔	U+5194	0x94	
冕	U+5195	0x95	
冖	U+5196	0x96	
冗	U+5197	0x97	
冘	U+5198	0x98	
写	U+5199	0x99	
冚	U+519A	0x9A	
军	U+519B	0x9B	
农	U+519C	0x9C	
冝	U+519D	0x9D	
冞	U+519E	0x9E	
冟	U+519F	0x9F	
冠	U+51A0	0xA0	
冡	U+51A1	0xA1	
冢	U+51A2	0xA2	
冣	U+51A3	0xA3	
冤	U+51A4	0xA4	
冥	U+51A5	0xA5	
冦	U+51A6	0xA6	
